title,imdbRating,ratingCount,duration,nrOfWins,nrOfNominations,nrOfNewsArticles,nrOfUserReviews,nrOfGenre
Der eiskalte Engel (1967),8.2,22465,6300,0,0,20,79,3
Wenn die Gondeln Trauer tragen (1973),7.4,26050,6600,0,8,242,233,3
Napoleon vom Broadway (1934),7.9,3874,5460,1,0,131,50,2
Augen der Angst (1960),7.8,17160,6060,0,0,134,126,3
In der Hitze der Nacht (1967),8,39484,6540,17,12,183,146,3
Videoclub (2013),4.9,18,,0,0,0,0,3
Mord im Orient Express (1974),7.3,28857,7680,8,16,176,148,1
Buster Keaton - Dampfer-Willis Sohn (1928),8,7236,4200,0,0,0,56,3
Blue Velvet (1986),7.8,100580,7200,22,11,867,653,3
Tod auf dem Nil (1978),7.2,15392,8400,4,5,41,92,1
Das Böse unter der Sonne (1982),7,6871,7020,0,0,13,62,3
Haus der Spiele (1987),7.3,14094,6120,6,2,29,103,3
Verdammnis (2009),7.1,55813,7740,0,0,288,132,3
Copykill (1995),6.5,36160,7380,2,1,29,122,3
Die purpurnen Flüsse (2000),6.9,40832,6360,1,9,14,161,3
Mord - Sir John greift ein! (1930),6.4,3464,6240,0,0,0,43,3
Mr. Deeds geht in die Stadt (1936),8,12499,6900,5,5,20,104,2
The Palm Beach Story (1942),7.9,6804,5280,0,0,15,85,2
Precious Images (1986),7.4,442,480,2,1,0,9,2
Atlantic City\,http://www.imdb.com/title/tt0080388/,7.4,9189,video.movie,27,7,0,53
Der versteinerte Wald (1936),7.7,7818,4920,0,0,30,86,3
Boys Don't Cry (1999),7.6,63699,7080,47,27,509,423,2
Die Outsider (1983),7.2,45251,5460,1,3,413,290,2
The Panic in Needle Park (1971),7.1,8763,6600,1,1,24,57,3
Es tut sich was in Hollywood (1928),8.3,2400,4980,1,0,12,28,2
Das Kind (2005),7.4,11521,6000,12,12,32,78,3
William Shakespeares Romeo & Julia (1996),6.9,129664,7200,13,20,14,482,2
Pépé le Moko - Im Dunkel von Algier (1937),7.7,3792,5640,2,0,10,37,3
Das Leben nach dem Tod in Denver (1995),6.8,19544,6900,2,0,15,136,2
Badlands (1973),7.9,35743,5640,3,0,406,171,2
Goldhelm (1952),7.8,2648,5100,1,1,2,25,3
When the Clouds Roll by (1919),7,530,5100,0,0,0,6,3
Destroy All Humans! (Video Game 2005),7.9,321,,0,0,2,5,3
Die schreckliche Wahrheit (1937),8,11147,5460,1,5,77,94,2
Über den Dächern von Nizza (1955),7.5,35545,6360,0,5,207,159,3
Laura (1944),8.2,23895,5280,1,4,77,178,3
Mein Mann Godfrey (1936),8.2,13141,5640,1,0,67,270,2
Marnie (1964),7.2,26944,7800,0,0,207,179,3
Whose Line Is It Anyway? Episode #2.7 (TV Episode 1989),,,2220,0,0,0,0,2
Manhandled (1924),8.3,739,4500,0,0,0,5,2
The 100 Greatest War Films (TV Movie 2005),5.3,90,23100,0,0,0,3,1
Zatôichi monogatari (1962),7.7,2441,5760,0,0,8,18,3
Judo Saga - Die Legende vom großen Judo (1943),6.9,2409,4740,0,0,2,23,3
Robin Hood (2010),6.7,166816,8400,1,11,561,530,3
Hidalgo - 3000 Meilen zum Ruhm (2004),6.6,58431,8160,1,2,160,337,3
Apocalypto (2006),7.8,193604,8340,7,14,404,1022,3
Die Höllenfahrt der Poseidon (1972),7.1,27872,7020,4,13,231,231,2
Zatôichi to Yôjinbô (1970),7.2,1441,4740,0,0,4,13,3
Die 36 Kammern der Shaolin (1978),7.8,8402,6900,0,0,36,61,3
Fleisch & Blut (1985),6.7,10990,7560,2,1,0,99,2
Yagyû ichizoku no inbô (1978),7.3,1059,7800,0,0,0,12,3
Die Kanonen von Navarone (1961),7.6,29407,9480,4,10,81,122,3
Das Schloß im Spinnwebwald (1957),8.2,21413,6600,3,1,98,96,2
Smashing UK Top 10 Top 10 International Films (TV Episode 2013),,,600,0,0,0,0,2
Zwei Waisen im Sturm (1921),8.1,3138,9120,0,0,2,31,1
Queen Kelly (1929),8,2305,6060,1,0,8,17,1
Coquette (1929),7.4,1500,4560,0,0,16,30,2
...aber das Fleisch ist schwach (1928),8.1,1683,5820,0,0,6,15,1
Der Überfall auf die Virginiapost (1921),8.2,1347,5940,2,0,0,15,1
Ein Stern geht auf (1937),7.7,4471,6660,2,7,14,41,1
The Last Flight (1931),7.9,1066,4560,0,0,0,22,1
Viridiana (1961),8.2,12404,5400,1,0,18,48,1
Das verlorene Wochenende (1945),8.1,19966,6060,11,3,85,126,1
Der schöne Karl (1932),8.1,1136,4620,0,0,0,15,1
The Magic of Fellini (TV Movie 2002),6.1,258,3360,0,0,0,4,1
Goldenes Gift (1947),8.1,17520,5820,1,0,68,137,3
Ein Mädel mit Tempo (1928),8.2,1701,4680,0,0,0,18,3
Todsünde (1945),7.8,5934,6600,0,3,28,112,3
Niagara (1953),7.1,8741,5520,0,0,29,98,3
Du lebst noch 105 Minuten (1948),7.5,5734,5340,0,2,0,78,3
Act of Violence (1948),7.5,2370,4920,0,0,13,46,3
Gefahr in Frisco (1949),7.8,2860,5640,0,0,0,36,3
An einem Tag wie jeder andere (1955),7.6,5567,6720,3,0,10,55,3
Das unheimliche Fenster (1949),7.5,1750,4380,1,2,0,49,3
Hemmungslose Liebe (1947),7.2,2333,6480,0,0,17,59,3
