title,imdbRating,ratingCount,duration,nrOfWins,nrOfNominations,nrOfNewsArticles,nrOfUserReviews,nrOfGenre
Until Death (2007),6,6934,6060,0,0,380,49,3
Taint of Greatness: The Journey of Beavis and Butt-Head\,http://www.imdb.com/title/tt0784159/,7.3,28,video.movie,0,0,0,0
Gilligans Insel Two on a Raft (TV Episode 1964),7.4,77,1800,0,0,0,2,2
Will & Grace The Finale (TV Episode 2006),8.8,304,2460,0,0,0,13,1
Balls Out: Gary the Tennis Coach (2009),5.5,7654,5520,0,0,12,28,2
Hot Rod - Mit Vollgas durch die Hölle (2007),6.7,49618,5280,1,1,280,138,1
A Girl Like Me: The Gwen Araujo Story (TV Movie 2006),7.6,1218,5280,1,2,0,17,1
Eine schrecklich nette Familie Al Bundy Sports Spectacular (TV Episode 1995),6,136,1800,0,0,0,0,1
Settling the Score (Video 2006),6,5,900,0,0,0,0,2
2006 MTV Movie Awards (2006),4.6,283,,0,0,0,2,0
Deck the Halls (2006),4.8,12563,5580,1,3,151,98,2
The Good Life (2007),6.5,1579,5400,0,0,12,13,2
R.I.P.D. (2013),5.6,63768,5760,0,0,1448,176,3
Rules of Engagement (TV Series 2007–2013),7.2,21370,1800,8,3,411,36,2
$9.99 (2008),6.7,2305,4680,2,3,2,19,2
Ca$h Cab (TV Series 2005– ),7.7,1205,1800,6,7,0,10,2
Entr'acte (1924),7.5,1896,1320,0,0,0,11,1
Das stumme Duell (1949),7.6,1387,5700,1,0,0,11,1
Ergo Proxy (TV Series 2006– ),8.1,5129,1500,0,0,17,28,3
Rob & Big (TV Series 2006–2008),7.9,2889,,0,0,0,3,3
Georgias Gesetz (2007),5.9,18199,6780,3,5,185,122,3
Drake & Josh Who's Got Game? (TV Episode 2006),8.9,67,1800,0,0,0,1,2
Planet Erde (TV Series 2006– ),9.5,69176,2640,9,13,539,57,1
Eating Out 2: Sloppy Seconds (2006),6.5,2461,4740,0,0,6,21,2
Scary Movie 5 (2013),3.5,36908,5160,0,0,1011,153,1
The Making of 'Event Horizon' (Video 2006),7.9,49,6180,0,0,0,5,1
Timeshift (TV Series 2002– ),7.5,15,3600,0,0,0,0,1
Der blonde Tiger (1949),7.3,1176,5940,0,0,0,50,3
Fong juk (2006),7.4,6114,6600,7,12,42,25,3
The Babysitters (2007),5.8,6224,5280,0,0,10,23,1
Talk to Me (2007),7.4,7842,7080,8,13,282,56,3
You Kill Me (2007),6.5,14974,5580,1,3,45,74,3
13 (2010),6.1,29235,5460,1,0,0,79,2
Fashion Police (TV Series 2002– ),6.2,736,,0,0,0,5,2
Die Zauberer vom Waverly Place (TV Series 2007–2012),6.7,14886,1320,34,48,1394,78,3
Erde in Flammen (1949),6.3,574,5400,0,0,0,21,3
The Bridge (2006),7.3,7533,5640,0,0,0,79,2
Wie ich das Ende der Welt erlebte (2006),7.3,2288,6360,3,1,8,23,1
Nie wieder Sex mit der Ex (2008),7.3,180685,6660,2,11,2248,313,3
The Hills Have Eyes 2 (2007),5.1,39904,5340,0,0,110,205,2
Skills Like This (2007),6.6,426,5280,5,0,9,11,1
Die Bette Davis-Story (TV Movie 2006),8.1,427,5280,0,1,0,10,2
Transsiberian (2008),6.7,36844,6660,2,11,225,145,3
20 to 1 (TV Series 2005– ),6.3,234,3600,0,0,0,4,1
Sklavin des Herzens (1949),6.2,3751,6660,1,0,17,48,3
"Tucker James\, der Highschool-Blitz Apeward Bound (TV Episode)",,,1800,0,0,0,0,2
Heroes (TV Series 2006– ),7.4,8011,,0,0,0,0,1
Topjob - Showdown im Supermarkt (2008),5.7,15150,5160,0,0,70,52,1
Red Dog - Ein Held auf vier Pfoten (2011),7.5,10226,5520,9,15,171,74,3
Ultimate Avengers II (Video 2006),6.8,5573,4380,0,0,0,20,3
Asylum (2008),4,2548,5580,0,0,42,33,3
The Hottie & the Nottie (2008),1.9,30458,5460,3,4,5,100,2
Married Life (2007),6.3,7172,5460,0,0,5,48,3
La terza madre (2007),5.2,6187,6120,0,0,148,102,1
P2 - Schreie im Parkhaus (2007),5.9,22751,5880,0,0,234,145,2
Machtlos (2007),6.8,40978,7320,1,2,228,188,2
Sleep Dealer (2008),5.9,4997,5400,4,6,92,38,3
w Delta z (2007),5.7,6374,6240,0,0,16,45,3
Louis de Funès - Die Macht des Lachens (TV Movie 2003),6.9,22,3120,0,0,0,0,1
Rita Hayworth: The Columbia Lady (Video 2000),6.9,18,540,0,0,0,1,2
The Black Donnellys (TV Series 2007– ),8.2,11947,3600,0,0,76,58,2
Jericho - Der Anschlag (TV Series 2006–2008),8.1,41309,2700,0,5,530,165,3
Men in Trees (TV Series 2006–2008),7.3,4262,2700,0,0,0,38,3
Shark (TV Series 2006–2008),7.1,9710,3600,0,2,330,31,3
Alles Betty! (TV Series 2006–2010),6.5,31207,3600,43,92,3498,85,2
Heyy Babyy (2007),5.6,4164,8640,0,0,0,31,2
A Woman's Secret (1949),6.1,699,5040,0,0,0,29,3
Carriers (2009),6.1,30583,5040,0,0,354,114,3
Die Echten Ghostbusters They Call Me Mister Slimer (TV Episode 1987),6.2,9,1800,0,0,0,0,3
Zomergasten Episode #5.1 (TV Episode 1992),,,10800,0,0,0,0,2
Tatort (TV Series 1969– ),7.4,1222,5400,72,93,19,2,1
2005 Glitter Awards (Video 2005),6.2,5,,0,0,0,0,1
American Pie präsentiert: Nackte Tatsachen (Video 2006),5.1,37966,5820,0,0,7,88,1
Bas Ek Pal (2006),6.1,355,,0,0,0,12,2
The Colgate Comedy Hour (TV Series 1950–1955),7,315,3600,0,4,13,6,2
Funny Games U.S. (2007),6.4,56944,6660,3,2,370,417,3
Kogitsune Heren (2006),7.1,137,6240,0,0,0,3,2
Gefahr und Begierde (2007),7.6,26741,9420,15,35,24,150,3
Das Mädchen\,http://www.imdb.com/title/tt0808506/,7.9,23412,video.movie,8,5,2,48
Zahnfee auf Bewährung (2010),5,23134,6060,1,4,1006,62,3
Life During Wartime (2009),6.5,4659,5880,3,5,358,36,2
The Honeymooners (TV Series 1955–1956),8.6,2820,1800,2,7,67,30,2
Pepper Dennis Hiroshi Watanabe in Bed with Curtis Wilson: Film at Eleven (TV Episode 2006),7.2,11,3600,0,0,0,0,2
Hilde (2009),6.7,546,8220,0,0,11,2,3
The Unbeatable Bruce Lee (Video 2001),7.3,42,3240,0,0,0,0,1
Leergut (2007),7.3,3171,6240,8,10,0,10,2
Bright Star - Meine Liebe. Ewig. (2009),7,17898,7140,16,39,1000,105,3
Burn Notice (TV Series 2007–2013),8,50968,2640,7,11,2705,136,3
The Jack Benny Program (TV Series 1950–1965),8.3,599,1800,7,13,21,15,1
Heißer Verdacht - Das Finale (TV Movie 2006),8.4,1449,10920,7,8,18,17,3
Shootout at Lokhandwala (2007),7,3644,,3,1,0,34,3
Shut Up & Sing (2006),7.7,4260,5580,10,6,20,80,3
Der Do-Deca-Pentathlon (2012),6,1126,4560,0,0,65,5,1
What's My Line? (TV Series 1950–1967),8.4,690,1800,3,2,0,23,3
Hak kuen (2006),6.6,1312,6600,0,0,0,16,1
Erlöse uns von dem Bösen (2006),8,6442,5940,7,6,256,51,2
Macbeth (TV Movie 2001),7.4,42,7920,0,0,0,2,1
Spring Breakdown (2009),4.9,3410,5040,0,0,77,16,1
Stepfather (2009),5.5,19593,6060,0,0,206,106,2
You Bet Your Life (TV Series 1950–1961),7.9,330,1800,0,0,22,14,3
Zu scharf\,http://www.imdb.com/title/tt0815236/,6.4,86343,video.movie,0,26,652,128
Religulous (2008),7.8,46012,6060,2,1,135,330,2
Cinéma\,http://www.imdb.com/title/tt0815353/,7.9,53,video.tv,4,2,0,1
Munich: Memories of the Event (Video 2006),7.3,28,540,0,0,0,0,1
It Takes Two (TV Series 2006– ),5.2,38,7200,0,0,0,3,3
Lake Mungo (2008),6.1,6489,5220,0,0,104,71,3
Svengoolie Curse of the Faceless Man (TV Episode 1995),,,7200,0,0,0,0,3
Milyang (2007),7.5,3451,8520,10,5,9,24,1
The Tattooist (2007),5.2,2399,5520,0,0,5,23,2
Valentinstag (2010),5.8,77042,7500,6,12,18,199,2
The Power of Few (2013),5.3,2614,5760,0,0,23,23,3
Saturday Night Live: The Best of Saturday TV Funhouse (Video 2006),6.5,150,5400,0,0,0,1,2
Traffic Signal (2007),6.6,873,,2,0,0,12,1
Meatball Machine (2005),5.8,1069,5400,0,0,0,18,3
A3 - Rock'n'Roll uzvraca udarac (2006),4.7,1070,,0,0,0,8,1
Come Dine with Me (TV Series 2005– ),7.3,596,1440,2,6,0,11,2
Belle - Der Weg zum Glück (2008),5.9,546,6480,2,0,7,10,2
Mystery Science Theater 3000 Gamera vs. Gaos (TV Episode 1991),7.9,101,5820,0,0,0,0,2
Gesetzlos (1950),6.5,502,5460,0,0,0,19,3
Blade - Die Jagd geht weiter (TV Series 2006– ),6.6,3561,3600,0,0,46,51,3
Tinkerbell (Video 2008),6.8,6121,4680,0,0,294,19,3
Les femmes de l'ombre (2008),6.8,4910,7020,0,0,3,25,2
Howard Stern on Demand Dustin Diamond Needs Money (TV Episode 2006),6.2,13,2820,0,0,0,0,2
Counter Investigation - Kein Mord bleibt ungesühnt (2007),6.5,1623,5100,0,0,0,11,1
Le voyage du ballon rouge (2007),6.6,2918,6900,3,5,7,36,2
Kommissarin Lund (TV Series 2007–2012),8.3,10254,3420,8,8,106,56,3
Never Sleep Again: The Making of 'A Nightmare on Elm Street' (Video 2006),7.8,194,3000,0,0,0,1,1
Diary of a Cannibal (Video 2007),1.5,683,4860,0,0,0,15,2
Blood Tea and Red String (2006),6.9,641,4260,1,0,0,14,2
Rachael Ray (TV Series 2006– ),4.4,577,,3,22,378,13,1
Blues Busters (1950),7.3,238,4020,0,0,0,8,2
Molly: An American Girl on the Home Front (TV Movie 2006),7,529,5100,1,4,0,14,3
Family Guy Whistle While Your Wife Works (TV Episode 2006),7.9,557,1800,0,0,0,1,2
The Greatest Gift (1942),6.2,83,660,0,0,0,8,2
Das Heldenmädchen von Trenton (1924),8.1,555,9180,0,0,0,5,2
Der gebrochene Pfeil (1950),7.3,4305,5580,2,2,6,46,3
Overnight (2007),5,304,5520,0,0,0,2,1
Friends The One After the Superbowl: Part 2 (TV Episode 1996),8.7,1002,1320,0,0,0,2,2
Loose Change: Second Edition (Video 2005),7.2,4316,4920,0,0,0,103,3
The Spirit (2008),4.8,48759,6180,0,0,924,279,3
Tekkon kinkurîto (2006),7.7,6848,6180,3,1,6,27,3
Annually Retentive Episode #1.5 (TV Episode 2006),7.7,6,1800,0,0,0,0,1
Jhoom Barabar Jhoom (2007),3.8,2128,8280,0,0,0,56,3
The Killer (2006),4.4,557,,0,0,0,8,3
Underworld - Aufstand der Lykaner (2009),6.6,92279,5520,0,0,409,160,3
A Four Letter Word (2007),5.6,639,5220,3,0,5,6,2
In Treatment - Der Therapeut (TV Series 2008– ),8.3,11297,1500,5,32,1161,34,1
Nocturna (2007),7.5,894,4800,2,1,0,7,3
Der rosarote Panther 2 (2009),5.5,25979,5520,0,0,251,104,3
2006 Glitter Awards (Video 2006),5.8,8,,0,0,0,0,1
Colorado Ranger (1950),5.9,17,3540,0,0,0,2,3
Semi-Pro (2008),5.8,55916,5460,1,4,187,113,2
Comedy Central Roast of William Shatner (TV Movie 2006),7.4,1479,5400,0,0,0,17,1
Forever Strong (2008),7.3,7380,6720,1,0,16,40,2
Sex in the 70s Blue Movies (TV Episode 2005),8.4,7,,0,0,0,0,1
2 Tage Paris (2007),6.9,23599,5760,2,5,9,102,3
Hannah Takes the Stairs (2007),5.5,1052,4980,0,0,139,20,3
Kingdom (TV Series 2007– ),7.9,1542,3600,0,0,346,17,2
Chatrapathi (2005),7.5,846,9480,0,0,0,2,1
Brothers Bloom (2008),6.9,36384,6840,0,0,922,95,3
Wolkig mit Aussicht auf Fleischbällchen (2009),7,108872,5400,1,10,2085,150,3
The Collector (2009),6.4,34007,5400,0,0,442,176,3
Legend of the Seeker - Das Schwert der Wahrheit (TV Series 2008–2010),7.6,25109,2640,1,2,449,300,3
Last House on the Left (2009),6.6,53999,6600,1,3,572,264,3
Higurashi no naku koro ni (TV Series 2006– ),8.3,1904,,0,0,0,17,3
Helvetica (2007),7.2,5176,4800,0,0,58,30,1
Im Solde des Satans (1950),7.1,1241,6180,0,0,0,41,3
Diary of the Dead (2007),5.8,36628,5700,1,0,352,324,1
Sakkarakatti (2007),3.1,57,,1,1,0,1,1
Ein Tag blau (Video 2008),4.9,3227,5520,0,0,5,11,1
Shaggy & Scooby-Doo Get a Clue! (TV Series 2006– ),4.1,343,,0,0,0,19,3
Fuori orario. Cose (mai) viste (TV Series 1988– ),6.6,61,,0,0,0,0,1
Fengkuang de saiche (2009),7.5,1180,5940,2,5,0,4,3
Terminator: S. C. C. (TV Series 2008–2009),7.7,45777,3600,1,19,1428,296,3
House Bunny (2008),5.5,51512,5820,0,0,758,118,2
Phineas und Ferb (TV Series 2007– ),8,14541,1800,1,25,504,58,3
Il nascondiglio (2007),6.1,412,6000,0,0,0,6,2
Deutschland. Ein Sommermärchen (2006),7,2262,6480,3,0,6,10,2
Wer war Stuart Shorter? (TV Movie 2007),8.1,3084,5400,6,1,0,14,1
Taxi to the Dark Side (2007),8,6342,6360,9,3,266,35,3
Invisible Children (2006),7.9,538,3300,0,0,0,2,1
Sharkwater - Wenn Haie sterben (2006),8,3546,5340,13,3,9,35,1
Inside (2007),6.9,23017,4920,8,3,24,227,2
Basilisk: Kôga ninpô chô (TV Series 2005– ),8,1838,1500,0,0,3,8,3
Ghost in the Shell - Stand Alone Complex 2nd GIG (TV Movie 2006),7.9,2767,6480,0,0,9,9,3
The Crime (2012),6.2,13175,6720,0,0,143,74,3
Ein Sommer in New York - The Visitor (2007),7.7,33244,6240,19,24,843,159,3
Gabriel - Die Rache ist mein (2007),5.7,10812,6840,2,1,50,103,3
Vikramarkudu (2006),7.5,832,8400,0,0,0,2,1
Die Mumie - Das Grabmal des Drachenkaisers (2008),5.2,91488,6720,2,6,367,493,3
Sanxia haoren (2006),7.3,3675,6660,9,6,169,32,1
Evangerion shin gekijôban: Ha (2009),8.1,7645,6720,0,0,0,17,3
Evangerion shin gekijôban: Kyu (2012),6.9,2893,5760,0,0,0,18,3
Beavis and Butt-Head Whiplash (TV Episode 1995),7.5,39,900,0,0,0,0,3
The Bigger Picture Episode #3.7 (TV Episode 2006),,,1740,0,0,0,0,2
Der Rebell (1950),7,2132,5280,0,0,2,25,2
Flight of the Conchords (TV Series 2007– ),8.8,32780,1500,2,10,567,27,3
Frisky Dingo (TV Series 2006– ),8.3,4580,660,0,0,39,12,3
Der Jane Austen Club (2007),6.9,18171,6360,0,0,70,53,3
Verliebt in die Braut (2008),5.8,44230,6060,0,0,159,96,2
Eastbound & Down (TV Series 2009– ),8.3,34982,1680,0,0,17,29,2
Scooby-Doo! Pirates Ahoy! (Video 2006),6.6,639,4800,0,0,0,6,3
Friday Night with Jonathan Ross Episode #11.5 (TV Episode 2006),8.5,13,3600,0,0,0,0,3
So ist Paris (2008),6.9,8416,7800,0,0,0,38,3
Spaceballs: The Animated Series (TV Series 2008– ),4.6,711,,0,0,6,10,3
Robot Chicken The Munnery (TV Episode 2006),7.7,74,660,0,0,0,1,2
Baby Mama (2008),6.1,28724,5940,1,4,25,95,2
Biography Audie Murphy: Great American Hero (TV Episode 1996),6.5,44,3600,0,0,0,0,3
Ghosts (2006),7.4,720,5760,1,2,0,12,2
Red State (2011),6.2,43371,5280,3,1,1821,269,3
Life (TV Series 2007–2009),8.3,26173,2700,2,3,20,66,3
Nine (2009),5.9,33473,7080,7,39,2049,227,3
Desu nôto (TV Series 2006–2007),9,55329,1440,0,0,0,99,3
Please Give (2010),6.6,8806,5400,6,12,778,51,2
Wilde Jahre in Lawrenceville (1950),7,487,6600,0,0,0,17,3
Game K N B Celebrity Fathers (TV Episode 2006),,,1800,0,0,0,0,1
The Ministers - Mein ist die Rache (2009),4.5,1089,5340,0,0,9,13,1
Verrückt nach Steve (2009),4.8,27100,5940,2,3,696,134,1
Snitch - Ein riskanter Deal (2013),6.5,50022,6720,0,0,596,109,3
Mein Freund Harvey (1950),8.1,39677,6240,1,4,156,185,2
13 game sayawng (2006),6.8,3900,6840,5,9,0,25,3
Pars: Operation Cherry (2007),6.2,1534,8700,0,0,0,5,3
I Love New York (TV Series 2007– ),4.7,1365,3600,0,0,178,12,1
Awesometown (TV Short 2005),8,616,1140,0,0,0,1,2
Brüno (2009),5.9,99551,4860,2,4,541,388,1
Die Kinder der Seidenstrasse (2008),7.1,7135,7500,1,3,13,32,2
Trumbo (2007),7.5,665,5760,1,0,116,13,2
Saw 4 (2007),5.9,88230,5580,1,6,412,307,2
Street Fighter: The Legend of Chun-Li (2009),3.7,17652,5760,0,0,195,176,3
Abenteuer eines Pechvogels (1950),6.7,479,5100,0,0,0,16,1
Eli Stone (TV Series 2008–2009),7.7,7817,3600,1,5,425,42,3
Die Pinguine aus Madagascar (TV Series 2008– ),7.7,8441,,18,31,183,16,3
Kiss the Bride (2007),5.7,1192,6000,0,0,4,10,2
Shine a Light (2008),7.2,8624,7320,0,0,171,65,3
Franklyn (2008),6.2,12734,5880,0,0,68,66,3
Intimate Portrait (TV Series 1993– ),6.8,137,3600,2,5,40,0,2
Tori & Dean: Inn Love (TV Series 2007– ),5.7,327,,0,0,10,1,1
Making 'Sólo con tu pareja' (Video 2006),6.5,13,1740,0,0,0,0,2
The Whistleblower (2010),7.2,19025,6720,6,9,283,71,3
The Echo (2008),5.7,3848,5400,0,0,16,25,3
The Big Bang Theory (TV Series 2007– ),8.7,366815,1260,29,94,7902,294,1
Samantha Who? (TV Series 2007–2009),7.5,7683,1320,5,13,50,13,3
Love Happens (2009),5.6,21325,6540,0,0,398,78,2
Saturday Night Live: The Best of Jon Lovitz (TV Movie 2005),7.1,97,5580,0,0,0,1,1
30 Even Scarier Movie Moments (TV Mini-Series 2006),5.9,170,,0,0,0,2,1
Modern Marvels James Bond Gadgets (TV Episode 2002),7,10,3600,0,0,0,1,2
Bride Wars - Beste Feindinnen (2009),5.3,56724,5340,1,8,791,123,2
Rise of the Footsoldier (2007),6.9,13564,7140,0,0,94,71,3
Hook und das Geisterlicht (Video 2006),6.8,3720,420,0,0,118,8,3
Jackie\,http://www.imdb.com/title/tt0015074/,7.2,5,video.movie,0,0,0,1
König Salomons Diamanten (1950),6.9,3754,6180,2,1,4,64,3
Medal of Honor: Vanguard (Video Game 2007),7.6,92,,0,0,0,0,3
Justice League: The New Frontier (Video 2008),7.1,8619,4500,0,2,58,58,3
The Invincible Iron Man (Video 2007),6,4775,4980,0,0,106,20,3
Breaking Bad (TV Series 2008–2013),9.6,512842,2700,72,146,16358,597,3
Heckler (2007),6.2,2341,4800,0,0,10,50,2
Californication (TV Series 2007– ),8.5,115330,1680,5,25,1618,135,2
Arjun (2004),6.5,630,,1,1,0,1,1
Specific Spontaneity: Focus on Lynch (Video 2004),6.9,7,420,0,0,0,0,2
Disney-Land Operation Undersea (TV Episode 1954),8.7,9,3600,0,0,0,0,3
Gavin & Stacey (TV Series 2007– ),7.8,6885,1740,11,14,8,26,2
Aschenputtel (Video 1994),6.4,103,2880,0,0,0,4,3
The Making of 'Derailed' (Video 2006),7.7,22,480,0,0,0,0,2
Ananas Express (2008),7,189566,6660,3,5,2528,356,3
"Andy Barker\, P.I. The Big No Sleep (TV Episode 2007)",7.3,31,1800,0,0,0,1,2
"Andy Barker\, P.I. The Lady Varnishes (TV Episode 2007)",8.1,33,1800,0,0,0,2,2
Zomergasten Episode #13.2 (TV Episode 2000),,,10800,0,0,0,0,2
Montana (1950),6.2,631,4560,1,0,3,11,3
Damages - Im Netz der Macht (TV Series 2007–2012),8.1,20888,3600,8,55,1997,57,3
Loose Change: Final Cut (Video 2007),7.1,1854,5400,0,0,0,22,3
Plaguers (2008),2.7,706,5160,4,0,19,12,2
Die Simpsons Revenge Is a Dish Best Served Three Times (TV Episode 2007),6.9,428,1800,0,0,0,0,3
Crossing Over - Der Traum von Amerika (2009),6.8,17529,6780,0,0,228,70,1
The Spy Who Loved Me (Video Game 1990),6.6,16,,0,0,0,0,2
The Graham Norton Show (TV Series 2007– ),8.1,3361,3600,5,9,0,3,2
Pushing Daisies (TV Series 2007–2009),8.5,36396,2580,17,35,2205,170,3
"Süß\, aber ein bißchen verrückt The Collaborators (TV Episode 1967)",,,1800,0,0,0,0,1
Loft - Tödliche Affären (2008),7.5,8450,7080,0,0,0,24,3
Stars in der Manege (TV Series 1959– ),5.4,19,,0,0,0,0,3
Portal (Video 2009),3.4,408,,0,0,0,8,2
Stargate: Continuum (Video 2008),7.5,12539,5880,3,10,45,31,3
Supercroc (2007),2,779,5100,0,0,0,18,3
The Secret Life of Brian (TV Movie 2007),7.5,105,2880,0,0,0,2,1
Rabbit Hole (2010),7,35331,5460,4,29,1858,135,1
In Plain Sight - In der Schusslinie (TV Series 2008–2012),7.2,7905,3600,0,0,637,32,3
Hammys Bumerang Abenteuer (Video 2006),6.4,435,300,0,0,0,1,3
Screenwipe Screenwipe USA (TV Episode 2006),7.6,10,3600,0,0,0,0,2
Die Legende von Aang (2010),4.4,94959,6180,6,11,3006,1306,3
Tôkyô sonata (2008),7.6,5938,7200,11,4,87,30,1
South Park With Apologies to Jesse Jackson (TV Episode 2007),8.6,1462,1320,0,0,0,6,2
Arthur und die Minimoys - Die Rückkehr des Bösen M (2009),5.2,3867,5580,0,0,0,9,3
Comedy Connections One Foot in the Grave (TV Episode 2007),,,2340,0,0,0,0,1
The Daily Show Robin Wright Penn (TV Episode 2007),6.3,7,1800,0,0,0,0,3
Ghost Whisperer - Stimmen aus dem Jenseits The Cradle Will Rock (TV Episode 2007),7.6,93,3600,0,0,0,0,2
Shelter (2007),7.9,11024,5400,11,0,25,68,3
Good Dick (2008),6.5,5969,5160,1,1,35,49,3
Lifted (2006),8,8413,300,0,0,55,78,3
Skins - Hautnah Maxxie and Anwar (TV Episode 2007),8.5,376,3600,0,0,0,0,2
Reel Bad Arabs: How Hollywood Vilifies a People (Video 2006),7.6,384,3000,0,0,3,7,3
Bam's Unholy Union (TV Series 2007– ),5.9,1092,1800,0,0,0,0,2
The Life & Times of Tim (TV Series 2008– ),8.1,4585,,0,0,64,14,2
Raiders of Tomahawk Creek (1950),6.8,10,3300,0,0,0,0,1
Arn: Riket vid vägens slut (2008),6.5,5255,7680,1,1,0,15,3
Mad Money (2008),5.7,14730,6240,0,0,135,48,3
Shotgun Stories (2007),7.3,5237,5520,5,5,261,29,2
The Making of 'Severance' (Video 2007),7.1,18,2040,0,0,0,0,2
Tsuneni: zoku san-chôme no yûhi (2007),7.5,526,8760,3,14,0,4,1
HypaSpace Episode #6.20 (TV Episode 2007),,,1500,0,0,0,0,1
Svengoolie The People Under the Stairs (TV Episode 2007),,,7200,0,0,0,0,3
Bachelor Party 2 - Die große Sause (Video 2008),5.2,3426,6240,0,0,5,10,1
Helmer & søn (2006),6.9,370,780,0,0,0,5,3
Moonlight (TV Series 2007–2008),7.7,19673,3600,2,0,230,161,3
HypaSpace Episode #6.25 (TV Episode 2007),,,1500,0,0,0,0,1
First Person Shooter Sequence (Video 2006),7.8,17,660,0,0,0,1,2
Ghost Whisperer - Stimmen aus dem Jenseits Delia's First Ghost (TV Episode 2007),7.4,92,3060,0,0,0,1,2
Rio Grande (1950),7.3,8291,6300,0,0,54,71,2
Screenwipe Episode #3.1 (TV Episode 2007),7.7,9,1800,0,0,0,0,2
Ein Monster in Paris (2011),6.7,12499,5400,0,0,57,31,3
Cabin Fever 2: Spring Fever (2009),4.3,7888,5160,0,0,131,86,3
The Young Victoria (2009),7.3,33932,6300,10,14,934,93,3
Ban the Sadist Videos! Part 2 (Video 2006),7.1,100,2760,0,0,0,1,1
Ruinen (2008),5.9,53231,5400,0,0,248,338,2
Rakete Mond startet (1950),4.9,1401,4620,0,0,7,52,1
Duell der Magier (2010),6.2,100754,6540,1,1,1025,229,3
Inside the Barn: Creating Isolation (Video 2007),,,1260,0,0,0,0,2
Fashion (2008),6.9,6177,10020,7,3,701,39,2
U.S. Marshals: Justice Under the Star (Video 1998),5.6,7,1080,0,0,0,1,2
Jäähyväiset lasihevoselle (TV Series 1985– ),,,9600,0,0,0,0,2
Herr der rauhen Berge (1950),6.9,503,4980,0,0,112,20,3
San taam (2007),7.3,4674,5340,6,8,33,22,3
The 59th Primetime Emmy Awards (2007),5.2,98,,0,0,0,1,0
Arielle\,http://www.imdb.com/title/tt0969647/,6.5,3435,video.movie,0,2,13,14
Pasila (TV Series 2007– ),8.4,947,1500,2,1,0,0,3
Die schwarze Lawine (1950),6.9,366,5100,0,0,0,14,3
Meine Frau\,http://www.imdb.com/title/tt0970866/,5.4,66848,video.movie,3,74,1806,147
Vennela (2005),6.9,158,,0,0,0,1,1
Rescue Me Commitment (TV Episode 2007),7.6,76,3600,0,0,0,0,2
Private Practice (TV Series 2007–2013),6.5,15014,3600,8,21,3565,34,3
iCarly (TV Series 2007–2012),6.5,17652,1800,11,53,10,111,2
Creation (2009),6.8,9718,6480,0,0,261,72,2
Mein Leben (TV Series 2001– ),7.7,7,2580,0,0,0,0,2
Elegy oder die Kunst zu lieben (2008),6.8,17323,6720,3,5,147,105,2
American Pie präsentiert: Die College-Clique (Video 2007),5.3,36539,5280,0,0,11,57,1
Best! Movies! Ever! Rants (TV Episode 2007),,,1800,0,0,0,0,1
Side Street (1949),7.2,1357,4980,0,0,9,28,3
Hitchcock (2012),6.9,48345,5880,4,16,1559,202,2
Greek (TV Series 2007– ),7.5,19488,3600,0,0,905,26,2
Tokio! (2008),7.1,6034,6720,2,2,0,24,3
Common Sacrifice (Video 2006),,,3300,0,0,0,0,1
The Spectacular Spider-Man (TV Series 2008–2009),8.1,4619,,0,0,99,24,3
Staten Island (2009),5.9,4187,5760,0,0,0,24,3
Game K N B Episode dated 3 March 2007 (TV Episode 2007),,,1800,0,0,0,0,1
Try Before You Die Episode #1.4 (TV Episode 2005),,,2400,0,0,0,0,0
Die rote Lola (1950),7.1,7654,6600,2,1,93,87,1
Hero Wanted (2008),5.7,5988,5640,0,0,27,33,3
Fair Game (2010),6.8,32705,6480,1,8,873,120,3
Bhagyalakshmi Bumper Draw (2006),5.1,18,,0,0,0,1,1
Sucker Punch (2011),6.1,163958,6600,1,3,4554,890,3
Summer Stock (1950),7.3,2208,6480,0,0,29,48,2
Nick und Norah - Soundtrack einer Nacht (2008),6.7,61982,5400,0,0,315,124,3
Strictly Background (2007),7.1,213,5040,1,0,4,11,1
Byôsoku 5 senchimêtoru (2007),7.9,17113,3780,1,0,0,54,3
Kitchen Nightmares (TV Series 2007– ),7.4,5788,3600,0,0,271,20,1
South Park Fantastic Easter Special (TV Episode 2007),8.3,1060,1320,0,0,0,4,2
Dark Floors (2008),4.5,5090,5100,0,0,37,79,2
Mikaël (1924),7.3,947,5580,0,0,0,18,2
Les guignols de l'info Episode dated 13 March 2007 (TV Episode 2007),,,600,0,0,0,0,2
Machete (2010),6.7,141665,6300,2,4,3989,377,3
Traitor (2008),7,44888,6840,0,0,183,128,3
Texas Tom (1950),7.2,318,420,0,0,0,10,3
27 Dresses (2008),6.1,91982,6660,5,3,24,151,2
Panel Quiz Attack 25 (TV Series 1975– ),,,,0,0,0,0,1
Jeena Isi Ka Naam Hai (TV Series 2002– ),8.3,874,,0,0,0,1,1
Checking Out: Grand Hotel (Video 2004),2.8,52,720,0,0,0,0,2
Like a dragon (2007),6.4,899,6600,0,0,0,6,3
Weakest link: Hitori gachi no hôsoku Episode #1.1 (TV Episode 2002),,,,0,0,0,0,1
Paul Merton: The Series Episode #1.1 (TV Episode 1991),6.6,5,1440,0,0,0,1,1
Em (2008),6.1,168,5580,5,0,4,10,1
